id,code,name,has_hrp,in_gho,from_cods,reference_period_start,reference_period_end
#country+hapi_id,#country+code,#country+name,#indicator+has_hrp,#indicator+in_gho,#indicator+from_cods,#date+start,#date+end
228,TKM,Turkmenistan,False,False,True,1992-06-15T00:00:00,
229,TCA,Turks and Caicos Islands,False,False,True,1974-01-01T00:00:00,
230,TUV,Tuvalu,False,False,True,1979-01-01T00:00:00,
231,UGA,Uganda,False,True,True,1974-01-01T00:00:00,
232,UKR,Ukraine,True,True,True,1992-04-19T00:00:00,
233,ARE,United Arab Emirates,False,False,True,1974-01-01T00:00:00,
234,GBR,United Kingdom of Great Britain and Northern Ireland,False,False,True,1974-01-01T00:00:00,
235,USA,United States of America,False,False,True,1974-01-01T00:00:00,
236,UMI,United States Minor Outlying Islands,False,False,True,1986-01-01T00:00:00,
237,URY,Uruguay,False,True,True,1974-01-01T00:00:00,
238,UZB,Uzbekistan,False,False,True,1992-06-15T00:00:00,
239,VUT,Vanuatu,False,False,True,1980-01-01T00:00:00,
240,VEN,Venezuela (Bolivarian Republic of),True,True,True,2009-03-03T00:00:00,
241,VNM,Viet Nam,False,False,True,1977-01-01T00:00:00,
242,VGB,British Virgin Islands,False,False,True,1974-01-01T00:00:00,
243,WLF,Wallis and Futuna Islands,False,False,True,1974-01-01T00:00:00,
244,ESH,Western Sahara,False,False,True,1985-01-01T00:00:00,
245,YEM,Yemen,True,True,True,1993-07-12T00:00:00,
246,ZMB,Zambia,False,True,True,1974-01-01T00:00:00,
247,ZWE,Zimbabwe,False,True,True,1980-01-01T00:00:00,
248,MNP,Northern Mariana Islands,False,False,True,1986-01-01T00:00:00,
249,VIR,United States Virgin Islands,False,False,True,1974-01-01T00:00:00,
