id,admin1_ref,code,name,from_cods,reference_period_start,reference_period_end,admin1_code,admin1_name,location_code,location_name,location_ref
#adm2+hapi_id,#adm1+hapi_id,#adm2+code,#adm2+name,,#date+start,#date+end,#adm1+code,#adm1+code,#country+code,#country+code,#country+hapi_id
56,6,AF0608,Khogyani,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
57,6,AF0609,Bati Kot,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
58,6,AF0610,Deh Bala,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
59,6,AF0611,Pachir Wa Agam,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
60,6,AF0612,Dara-e-Nur,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
61,6,AF0613,Kot,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
62,6,AF0614,Goshta,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
63,6,AF0615,Achin,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
64,6,AF0616,Shinwar,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
65,6,AF0617,Muhmand Dara,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
66,6,AF0618,Lalpur,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
67,6,AF0619,Sherzad,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
68,6,AF0620,Nazyan,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
69,6,AF0621,Hesarak,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
70,6,AF0622,Dur Baba,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
71,7,AF0701,Mehtarlam,True,2021-11-17T00:00:00,,AF07,Laghman,AFG,Afghanistan,1
72,7,AF0702,Qarghayi,True,2021-11-17T00:00:00,,AF07,Laghman,AFG,Afghanistan,1
73,7,AF0703,Alishang,True,2021-11-17T00:00:00,,AF07,Laghman,AFG,Afghanistan,1
74,7,AF0704,Alingar,True,2021-11-17T00:00:00,,AF07,Laghman,AFG,Afghanistan,1
75,7,AF0705,Dawlatshah,True,2021-11-17T00:00:00,,AF07,Laghman,AFG,Afghanistan,1
76,8,AF0801,Bazarak,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
77,8,AF0802,Rukha,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
